held_out_country,train_country,profile_distance,similarity_weight,target,model,feature_regime,temperature
Germany,India,1.6382153130360984,0.7166637858361248,extreme_abs_151_h3,xgboost,local,2.0
Germany,Nigeria,1.8487213104830065,0.6450667591246018,extreme_abs_151_h3,xgboost,local,2.0
Germany,Bangladesh,2.600019119075145,0.4430598708958439,extreme_abs_151_h3,xgboost,local,2.0
Germany,Pakistan,2.600146338873805,0.4430316887983987,extreme_abs_151_h3,xgboost,local,2.0
India,China,1.0422902517636383,1.242437378132992,extreme_abs_151_h3,xgboost,local,2.0
India,Ethiopia,1.1908264732743048,1.153507115315825,extreme_abs_151_h3,xgboost,local,2.0
India,Russia,1.2240836780917024,1.1344845021821262,extreme_abs_151_h3,xgboost,local,2.0
India,Nigeria,1.271998689922928,1.1076280740630404,extreme_abs_151_h3,xgboost,local,2.0
India,Turkey,1.2804797733480349,1.1029410757424642,extreme_abs_151_h3,xgboost,local,2.0
India,Indonesia,1.298525325713846,1.0930342460365634,extreme_abs_151_h3,xgboost,local,2.0
India,Brazil,1.3130586460853624,1.0851203263060138,extreme_abs_151_h3,xgboost,local,2.0
India,Mexico,1.3510888884007193,1.0646815703820174,extreme_abs_151_h3,xgboost,local,2.0
India,Vietnam,1.405277882628883,1.03622185057397,extreme_abs_151_h3,xgboost,local,2.0
India,Philippines,1.4416448527083665,1.0175500001798834,extreme_abs_151_h3,xgboost,local,2.0
India,Thailand,1.4418128720344752,1.017464519737869,extreme_abs_151_h3,xgboost,local,2.0
India,South Korea,1.4978797128909678,0.9893375979874026,extreme_abs_151_h3,xgboost,local,2.0
India,Egypt,1.5067579190734472,0.984955559753534,extreme_abs_151_h3,xgboost,local,2.0
India,Bangladesh,1.5719251772195524,0.9533793603614312,extreme_abs_151_h3,xgboost,local,2.0
India,United Kingdom,1.609488326999242,0.93564049783583,extreme_abs_151_h3,xgboost,local,2.0
India,Saudi Arabia,1.6144580235921584,0.9333184592902276,extreme_abs_151_h3,xgboost,local,2.0
India,South Africa,1.6189956827530037,0.9312033191154554,extreme_abs_151_h3,xgboost,local,2.0
India,Germany,1.6382153130360984,0.922297487593476,extreme_abs_151_h3,xgboost,local,2.0
India,France,1.7019521700393256,0.8933687214984471,extreme_abs_151_h3,xgboost,local,2.0
India,Pakistan,1.7364333025967509,0.8780985502802218,extreme_abs_151_h3,xgboost,local,2.0
India,United States,1.7705155556954872,0.8632615404966393,extreme_abs_151_h3,xgboost,local,2.0
India,Japan,1.800443953424436,0.8504396967052035,extreme_abs_151_h3,xgboost,local,2.0
India,Australia,1.8987998398393977,0.8096285504293704,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Brazil,0.7440570538321982,1.2358704665609153,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Philippines,0.7492712167189535,1.2326526479812714,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Russia,0.8100111707920533,1.19577976374575,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Thailand,0.9169852808798866,1.13350141521779,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Japan,0.9510597178537852,1.1143532825811784,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,United Kingdom,0.9581973575616084,1.1103834444940002,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,South Korea,0.9584397859945458,1.110248858391835,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Germany,0.9718324715464308,1.102839088337972,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,United States,0.987833481223088,1.0940510202420488,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,China,1.000022933073101,1.0874033575444435,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Turkey,1.0369904980250078,1.0674886469944425,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Ethiopia,1.0444272180892806,1.06352671039293,extreme_abs_151_h3,xgboost,local,2.0
