target,split_name,feature_set,n_features,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,temporal_split,all_features,64,logistic_regression,linear,test,48405,6313,0.1304204111145542,0.882925317632476,0.8655622333247868,0.5323452833967555,0.842071915095834,0.6523099576661144,0.7909610301800781,37422,4670,997,5316,0.1109474484462605,0.157928084904166,0.9389255609735344,0.7549591927985202
extreme_abs_151_h3,temporal_split,all_features,64,random_forest,ensemble,train,221280,28937,0.1307709689081706,0.942448481561822,0.9486632712885468,0.7067214453404104,0.9570791719943326,0.8130642201834862,0.8895264882882259,180850,11493,1242,27695,0.0597526294172389,0.0429208280056674,0.9877870399495328,0.9253379262009752
extreme_abs_151_h3,temporal_split,all_features,64,random_forest,ensemble,validation,55320,7465,0.1349421547360809,0.9273138105567608,0.910727748893716,0.6754636233951498,0.8880107166778298,0.7672897737137566,0.8621101989250867,44670,3185,836,6629,0.066555218890398,0.1119892833221701,0.9757292468464438,0.8805176584357697
extreme_abs_151_h3,temporal_split,all_features,64,random_forest,ensemble,test,48405,6313,0.1304204111145542,0.92907757463072,0.9134407035864008,0.6717147626997376,0.8922857595437985,0.7664466970542214,0.8623187194274773,39339,2753,680,5633,0.0654043523709968,0.1077142404562014,0.9754930624309336,0.8759381007511692
extreme_abs_151_h3,temporal_split,aqi_history,22,logistic_regression,linear,train,221280,28937,0.1307709689081706,0.8768031453362256,0.8510547166895723,0.5183933274802458,0.8161868887583371,0.6340658013074352,0.7799998383790527,170401,21942,5319,23618,0.1140774553791923,0.1838131112416629,0.9134224190775236,0.695855735408696
extreme_abs_151_h3,temporal_split,aqi_history,22,logistic_regression,linear,validation,55320,7465,0.1349421547360809,0.8806579898770788,0.8599613156594739,0.5373496061629014,0.8316141995981245,0.6528551898201703,0.7903991301308837,42510,5345,1257,6208,0.1116915682791766,0.1683858004018754,0.9242770192917136,0.7279811284848051
extreme_abs_151_h3,temporal_split,aqi_history,22,logistic_regression,linear,test,48405,6313,0.1304204111145542,0.8852391281892367,0.8611702054315968,0.5390560593569662,0.8286076350388089,0.6531809951926079,0.7922125193061056,37619,4473,1082,5231,0.1062672241756153,0.1713923649611912,0.9247425238966114,0.7143618402543618
extreme_abs_151_h3,temporal_split,aqi_history,22,random_forest,ensemble,train,221280,28937,0.1307709689081706,0.9188720173535792,0.9030417657298976,0.6371856033169319,0.8816048657428206,0.7397280134543451,0.8458374104414446,177817,14526,3426,25511,0.0755213342830256,0.1183951342571793,0.9749094732896744,0.8668546230877556
extreme_abs_151_h3,temporal_split,aqi_history,22,random_forest,ensemble,validation,55320,7465,0.1349421547360809,0.9087852494577008,0.8815892057267493,0.618729753607539,0.8443402545210985,0.7141400407885792,0.8299374871641954,43971,3884,1162,6303,0.0811618430676,0.1556597454789015,0.9516782914003376,0.822913271630223
extreme_abs_151_h3,temporal_split,aqi_history,22,random_forest,ensemble,test,48405,6313,0.1304204111145542,0.912199152980064,0.8812499210655443,0.6208553016988869,0.839379059084429,0.7137661637931034,0.8309564329616794,38856,3236,1014,5299,0.0768792169533403,0.160620940915571,0.9521614109252272,0.8200195484375924
extreme_abs_151_h3,temporal_split,aqi_pollutants,51,logistic_regression,linear,train,221280,28937,0.1307709689081706,0.8822532537960954,0.8576981161548507,0.5321422198429693,0.8244462107336628,0.6468028575688975,0.7880765428734585,171368,20975,5080,23857,0.1090499784239613,0.1755537892663372,0.923610581796218,0.7242448999151595
extreme_abs_151_h3,temporal_split,aqi_pollutants,51,logistic_regression,linear,validation,55320,7465,0.1349421547360809,0.884472161966739,0.8639748842209558,0.5470804839558128,0.8359008707300737,0.6613322028509353,0.795844974465383,42689,5166,1225,6240,0.1079511022881621,0.1640991292699263,0.9316372052967832,0.7509695084054233
extreme_abs_151_h3,temporal_split,aqi_pollutants,51,logistic_regression,linear,test,48405,6313,0.1304204111145542,0.8870364631752918,0.8679261029437166,0.5431695105752529,0.842071915095834,0.6603726708074534,0.7963119703931951,37621,4471,997,5316,0.1062197092084006,0.157928084904166,0.9309571624835308,0.7420119977519012
extreme_abs_151_h3,temporal_split,aqi_pollutants,51,random_forest,ensemble,train,221280,28937,0.1307709689081706,0.9348246565437456,0.9348683851887044,0.6833026039956558,0.934927601340844,0.7895520210126952,0.8754968083033157,179804,12539,1883,27054,0.0651908309634351,0.0650723986591561,0.9843614058417336,0.9081111558642476
